epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.36074766516685486,9.999999747378752e-05,1.1818400621414185,0.6008403301239014,1.0451288223266602
1,0.4072689414024353,9.999999747378752e-05,1.0840455293655396,0.6018907427787781,1.0077314376831055
2,0.47185876965522766,9.999999747378752e-05,1.0374988317489624,0.6134454011917114,0.9779729843139648
3,0.5001038312911987,9.999999747378752e-05,1.0126653909683228,0.6197478771209717,0.9528231024742126
4,0.534787118434906,9.999999747378752e-05,0.9903278946876526,0.618697464466095,0.9317235350608826
0,0.33681851625442505,9.999999747378752e-05,1.2846165895462036,0.36381709575653076,1.0710299015045166
1,0.3739108741283417,9.999999747378752e-05,1.124067783355713,0.43339958786964417,1.036825180053711
2,0.4194672703742981,9.999999747378752e-05,1.0684159994125366,0.622266411781311,1.0028234720230103
3,0.48095592856407166,9.999999747378752e-05,1.0325168371200562,0.544731616973877,0.9815885424613953
0,0.5872541666030884,9.999999747378752e-06,1.0577627420425415,0.3280318081378937,1.5985602140426636
1,0.6885735392570496,9.999999747378752e-06,0.7257891297340393,0.39165011048316956,1.3658219575881958
2,0.7164550423622131,9.999999747378752e-06,0.6695053577423096,0.6958250403404236,0.667576014995575
3,0.7333831191062927,9.999999747378752e-06,0.6221168041229248,0.7395626306533813,0.5912933945655823
4,0.75653475522995,9.999999747378752e-06,0.5918803811073303,0.781312108039856,0.5158724188804626
5,0.7727159857749939,9.999999747378752e-06,0.5539743304252625,0.7872763276100159,0.5110223889350891
6,0.7642519474029541,9.999999747378752e-06,0.5543864965438843,0.8051689863204956,0.47261562943458557
7,0.7732138633728027,9.999999747378752e-06,0.5387627482414246,0.7574552893638611,0.5656036734580994
8,0.7958675622940063,9.999999747378752e-06,0.5065233707427979,0.815109372138977,0.4348105490207672
9,0.794124960899353,9.999999747378752e-06,0.49697887897491455,0.7852882742881775,0.5412417054176331
0,0.34976351261138916,9.999999747378752e-05,1.245796799659729,0.5626242756843567,1.0570663213729858
1,0.3900921046733856,9.999999747378752e-05,1.1283830404281616,0.5765407681465149,1.023453950881958
2,0.4296738803386688,9.999999747378752e-05,1.0746705532073975,0.5188866853713989,1.0067226886749268
3,0.4705003798007965,9.999999747378752e-05,1.0528093576431274,0.5844930410385132,0.971568763256073
4,0.48917102813720703,9.999999747378752e-05,1.0265190601348877,0.6043737530708313,0.9485501646995544
